strain,treatment,track_id,n_steps,alpha,R,p_value,is_levy_strict,is_levy_statistical,classification
BR5270,Control,1629_1_100,72,8.322665749705969,-0.5508826767316313,0.4338742205237235,False,False,Brownian
BR5270,Control,1629_1_103,57,2.1149953661947336,-0.35845944151031406,0.06991747539976126,True,False,Lévy
BR5270,Control,1629_1_12,130,94.7751776577826,-2.6420417963162635,0.6515552566925082,False,False,Brownian
BR5270,Control,1629_1_126,79,2.3634044648897534,-0.8989469238936209,0.034750428246711366,True,False,Lévy
BR5270,Control,1629_1_13,142,23.861791545358283,1.84450831863923,0.00405219843324388,False,True,Brownian
BR5270,Control,1629_1_14,91,4.0530297228185885,-3.1998852349061853,0.03327980688978588,False,False,Brownian
BR5270,Control,1629_1_15,179,7.331164675710817,-0.7898565575981882,3.3695447523427115e-06,False,False,Brownian
BR5270,Control,1629_1_16,232,4.961986828086342,-0.01303605799745311,0.9062481765983903,False,False,Brownian
BR5270,Control,1629_1_166,91,2.6641721144107215,-4.2201349455642045,0.056706686285262736,True,False,Lévy
BR5270,Control,1629_1_17,213,137.1070324451226,-0.37973459007472044,0.544403180741747,False,False,Brownian
BR5270,Control,1629_1_173,78,6.731249230871414,-0.005020197997226972,0.9432656219118053,False,False,Brownian
BR5270,Control,1629_1_174,50,2.394122664599563,-0.000548711170056948,0.9513082382157633,True,False,Lévy
BR5270,Control,1629_1_176,53,3.05096758471927,-0.6249321580840114,0.09624517507729735,False,False,Brownian
BR5270,Control,1629_1_18,165,8.328870641023203,-0.18866456893829286,0.1711075486941145,False,False,Brownian
BR5270,Control,1629_1_19,223,5.239806325323827,0.059713377704404325,0.04054797494585069,False,True,Brownian
BR5270,Control,1629_1_2,114,3.678029560414883,0.0005052938318015343,0.9131516090289981,False,False,Brownian
BR5270,Control,1629_1_20,159,41.16455525474733,-0.45838450194409175,0.467359774388858,False,False,Brownian
BR5270,Control,1629_1_21,122,90.16567006465952,-0.5206250173232692,0.5750118987711859,False,False,Brownian
BR5270,Control,1629_1_22,125,37.06737602222408,-9.966002949988903,0.001885486876730602,False,False,Brownian
BR5270,Control,1629_1_23,223,4.092380638485823,-0.3881745488067152,0.6039808333032792,False,False,Brownian
BR5270,Control,1629_1_24,84,164.95585500823321,-0.6248098277382239,0.3800115137040523,False,False,Brownian
BR5270,Control,1629_1_25,216,9.641679589446298,0.004633326755787981,0.3863567167060634,False,False,Brownian
BR5270,Control,1629_1_26,154,100.41358952953792,0.8801780176906426,0.3621348943851549,False,False,Brownian
BR5270,Control,1629_1_27,148,39.6023392674297,-0.11234630676849866,0.3620845979136048,False,False,Brownian
BR5270,Control,1629_1_28,143,14.274325669530095,-1.448409554995031,0.03354798330496306,False,False,Brownian
BR5270,Control,1629_1_29,220,4.5433034211019105,-36.122444584301036,7.857914561512379e-38,False,False,Brownian
BR5270,Control,1629_1_31,203,2.062675949320962,0.005152342404903504,0.7956403678643281,True,False,Lévy
BR5270,Control,1629_1_32,144,2.798356614157053,-0.24740790199224394,0.6397151057890527,True,False,Lévy
BR5270,Control,1629_1_33,188,7.043079986706355,-0.5950741041747297,0.2460391341850151,False,False,Brownian
BR5270,Control,1629_1_34,204,3.511636906641829,-4.112942735527708,1.9637289346921836e-10,False,False,Brownian
BR5270,Control,1629_1_35,132,7.074138403357418,-0.3228242787600957,0.7437251725724962,False,False,Brownian
BR5270,Control,1629_1_36,99,4.121658877707738,-0.24337583435402577,0.7023549310098025,False,False,Brownian
BR5270,Control,1629_1_37,59,86.11900741244884,0.7051204506641824,0.6815875332645845,False,False,Brownian
BR5270,Control,1629_1_38,232,6.66032803109304,-0.592373446532396,0.21261258153429796,False,False,Brownian
BR5270,Control,1629_1_39,116,6.710595549683614,-1.215022181332875,0.020754800282408066,False,False,Brownian
BR5270,Control,1629_1_4,62,4.074716876409841,-0.6711034876577492,0.2735443374063108,False,False,Brownian
BR5270,Control,1629_1_40,138,12.073702550923395,-0.5008838253482799,0.09926876764547274,False,False,Brownian
BR5270,Control,1629_1_41,56,2.620452913353738,-0.37604739792434916,0.12455814499904783,True,False,Lévy
BR5270,Control,1629_1_42,117,11.787560447189414,-1.5170871364805887,0.06839083331397697,False,False,Brownian
BR5270,Control,1629_1_44,146,61.180993134225325,0.622073194110988,0.5835753002187098,False,False,Brownian
BR5270,Control,1629_1_45,149,209.3860354741915,-0.920030509036402,0.5475677878300462,False,False,Brownian
BR5270,Control,1629_1_47,156,6.631327657069176,-2.397618520542926,2.358067345678624e-07,False,False,Brownian
BR5270,Control,1629_1_48,173,336.0668977111619,,,False,False,Brownian
BR5270,Control,1629_1_49,201,21.197730572445487,-0.7619242132215502,0.22592006775903273,False,False,Brownian
BR5270,Control,1629_1_50,112,205.86269580623278,0.9787449092641811,0.7048756844440858,False,False,Brownian
BR5270,Control,1629_1_51,134,,0.0,1.0,False,False,Brownian
BR5270,Control,1629_1_52,57,4.597656359441143,-1.0203622762767761,0.0015317012245807974,False,False,Brownian
BR5270,Control,1629_1_54,99,2.9235750449696543,0.016831564340761662,0.6176308596233294,True,False,Lévy
BR5270,Control,1629_1_56,86,12.88301103340299,-1.7497551470578525,0.06302446712000533,False,False,Brownian
BR5270,Control,1629_1_58,98,30.532024769421135,0.027664080950104086,0.9169225792847973,False,False,Brownian
BR5270,Control,1629_1_6,138,10.874952387865509,-1.057833043753077,4.043712796618327e-05,False,False,Brownian
BR5270,Control,1629_1_60,238,65.31260464271469,-0.27635186357202945,0.40020981070587547,False,False,Brownian
BR5270,Control,1629_1_61,113,7.0439978388272015,-1.077525507544825,0.0007729537653852506,False,False,Brownian
BR5270,Control,1629_1_62,60,18.104463924373086,0.5739027287108502,0.8990557716588095,False,False,Brownian
BR5270,Control,1629_1_63,96,4.908484674503495,-4.541554812434057,3.848896995581027e-06,False,False,Brownian
BR5270,Control,1629_1_64,97,32.649343370181455,-0.0023358329787965815,0.9917125124097066,False,False,Brownian
BR5270,Control,1629_1_67,149,7.097998379104095,-1.0127917026711983,0.1584423531917044,False,False,Brownian
BR5270,Control,1629_1_7,79,15.246613528778513,-22.007219165490785,3.0629126716916146e-11,False,False,Brownian
BR5270,Control,1629_1_73,63,26.96851073600134,-7.322188653693238,0.005023415434851892,False,False,Brownian
BR5270,Control,1629_1_78,104,2.7596072134885725,-2.226823703953851,0.2055057820631272,True,False,Lévy
BR5270,Control,1629_1_8,102,17.350543796741583,-0.9542325256139952,0.11430984648761895,False,False,Brownian
BR5270,Control,1629_1_9,155,26.53171774281332,-0.003789974300631105,0.9223551207567369,False,False,Brownian
BR5270,Total_Extract_CBD,1517_2_1,108,3.8339338821819835,0.0007662879208496509,0.9543341933337521,False,False,Brownian
BR5270,Total_Extract_CBD,1517_2_11,192,20.30782698449234,-0.17012247128303098,0.31165753119875117,False,False,Brownian
BR5270,Total_Extract_CBD,1517_2_12,202,5.340686309531052,0.00010998740599998946,0.987043165526109,False,False,Brownian
BR5270,Total_Extract_CBD,1517_2_13,226,6.164924145601877,-0.012008404042102183,0.9166543190007586,False,False,Brownian
BR5270,Total_Extract_CBD,1517_2_14,103,3.8784659749802617,-0.44811158637102744,0.5517918875361778,False,False,Brownian
BR5270,Total_Extract_CBD,1517_2_16,216,2.8296692078150416,-0.40949842130337233,0.535292391313643,True,False,Lévy
BR5270,Total_Extract_CBD,1517_2_18,106,691.1386981295803,1.8049636996597407,0.22095798345309636,False,False,Brownian
BR5270,Total_Extract_CBD,1517_2_19,77,2.252348769895504,-1.1588016776985994,0.3913399615575167,True,False,Lévy
BR5270,Total_Extract_CBD,1517_2_20,82,3.637576379503209,-0.0002455903446960672,0.9773929846256753,False,False,Brownian
BR5270,Total_Extract_CBD,1517_2_21,208,4.03779422908414,-0.1613074963660226,0.7165987757551491,False,False,Brownian
BR5270,Total_Extract_CBD,1517_2_28,143,4.60272204651642,-0.06016772830278472,0.8077931344186574,False,False,Brownian
BR5270,Total_Extract_CBD,1517_2_3,179,7.042623528725564,-0.8229258749096309,0.08818822844691393,False,False,Brownian
BR5270,Total_Extract_CBD,1517_2_33,196,2.309435563262078,-4.304047400722873,0.07918101656859595,True,False,Lévy
BR5270,Total_Extract_CBD,1517_2_4,178,5.652609579378364,-0.14702772532545372,0.7343194066140928,False,False,Brownian
BR5270,Total_Extract_CBD,1517_2_49,124,4.8490340877046165,0.0002455600784869727,0.980820490385146,False,False,Brownian
BR5270,Total_Extract_CBD,1517_2_57,115,4.3194236912620205,-0.08637784263264214,0.782956921925241,False,False,Brownian
BR5270,Total_Extract_CBD,1517_2_60,63,4.112284096437321,-4.210573628041784,0.00012777911771439185,False,False,Brownian
BR5270,Total_Extract_CBD,1517_2_7,225,4.350293452333115,-0.27686360222470174,0.651676053277388,False,False,Brownian
BR5270,Total_Extract_CBD,1517_2_71,90,4.090781862237012,-0.05495569743648753,0.10518784961148565,False,False,Brownian
